dist_cd,cx,cy
9999,182.4843759,42.03971961
999,243.4474457,52.41431737
3,226.250834,72.76074008
4,203.856477,69.08024466
1,171.6928623,61.32995914
9,181.1601375,61.78766886
8,174.029815,67.87222558
11,184.4724366,65.60201147
14,188.7651721,73.55457934
18,198.1002587,78.3134282
10,183.0472743,68.51905277
2,178.8912028,71.84796213
12,184.3534945,71.59106258
5,173.4162885,75.5788958
13,181.4744167,75.20183795
15,181.8349728,77.46648215
6,175.4732846,83.06646653
17,186.9303622,82.33096407
20,181.8085727,83.94273775
16,194.3498026,86.35485714
21,180.5858075,91.43369282
7,192.6498318,95.21009322
19,188.4990006,89.73975539
22,185.4746922,95.18683819
25,222.0137228,96.84680895
23,203.6777098,93.50226155
24,203.1745004,103.2364919
26,218.8597948,106.7432589
27,212.9568256,111.2748255
34,233.4285174,111.9105593
29,201.6311659,112.2582907
33,222.2401403,118.7356998
31,211.7742235,121.3191449
32,219.323269,127.7013245
28,206.2099075,110.7710204
30,208.3027216,115.7990366
35,188.3248133,106.5140786
38,196.5320101,111.4692365
49,182.6499929,110.108566
37,192.3051637,118.4780668
50,181.8015239,116.380643
51,205.6621847,121.029432
39,200.8272755,120.2186109
701,172.0064791,134.2359068
42,186.6021057,126.0763223
41,196.1806806,125.3682723
52,209.3001568,127.4472997
45,180.905134,128.6072107
40,204.0519937,128.1245182
44,177.4234151,133.8673896
53,196.6979711,135.3508063
54,191.3310288,132.3950416
46,184.6674509,135.8108632
48,203.6794037,134.1461079
47,190.4374785,140.4091218
43,179.8235542,123.5257858
773,193.0420921,100.0199086
36,189.9033837,116.078245
55,209.9016129,126.6512788
56,236.3705967,122.5325172
57,250.4181234,130.5886493
60,227.0966028,130.9639457
59,235.3268109,131.5696645
58,242.816552,130.3878036
62,261.5457961,136.9893456
63,254.4993285,138.9519781
68,227.5103546,140.8761887
61,238.6325233,140.8942924
64,249.3563624,144.0575434
66,248.7634212,150.2731858
65,257.5415509,150.8771666
67,248.8679013,154.8406697
83,208.041364,162.0699025
86,212.2122754,165.9588175
88,218.1072258,166.2963658
84,200.6034359,169.2123447
85,206.3692597,168.0350299
87,213.7991878,172.2638608
89,217.8920077,171.0411698
765,200.9329264,162.5015692
71,217.4461745,134.9718276
72,209.9364221,138.254438
73,204.627679,142.0404488
79,182.6705646,145.3075697
74,211.5864394,144.1091368
77,203.0284384,148.307819
78,192.4679881,146.0904453
80,196.0239491,152.0274606
75,212.0191444,149.998826
76,211.2667527,154.6010498
81,197.0099534,159.2075114
82,206.2680566,157.0083841
69,212.7316323,127.4646167
70,212.1640087,133.4301423
91,214.6542458,158.9459608
95,216.2048344,160.5939772
94,215.218737,162.5265782
98,215.8464962,164.0878463
137,232.3823865,158.6335708
705,226.0204573,160.1318865
150,248.3061048,164.4865867
151,256.4618375,163.2897802
142,227.7808411,166.0603071
141,221.1354632,165.5425712
153,266.2028889,170.0303477
149,242.6538979,170.7408941
180,278.1592033,176.9459352
152,253.9676829,172.8226851
143,228.5122403,173.2297474
202,239.823521,175.7394656
145,222.1485333,178.6113734
181,284.1151918,176.637695
154,268.886614,179.9259262
144,229.9512994,178.8731288
201,237.958851,179.9549771
155,258.8779938,182.9702846
159,248.6987967,181.3245594
147,235.1934779,185.3082548
184,298.1716297,183.9560258
148,242.8110765,185.3858386
187,307.6877741,185.0910089
146,228.6656127,187.7635398
183,285.8815512,186.998926
176,275.8408868,189.3428763
189,313.527991,190.5827109
160,252.0297692,188.1346192
157,269.6563234,190.918941
185,294.5778833,191.2772625
92,216.804887,160.1965571
96,214.0323075,161.2294369
119,180.8119897,200.7686161
123,168.0515209,216.9249528
126,180.8429467,223.4353274
99,163.4214779,148.923179
100,177.748111,151.1130444
101,157.6657819,169.0705728
131,179.049535,236.0301184
188,305.2003196,193.9327262
186,300.3946555,191.993524
156,264.6587514,194.6883982
161,243.4275886,192.1834326
93,217.3696867,161.8249126
97,212.6009551,162.5461732
702,217.3895453,160.8857899
703,217.0553058,163.0900693
90,213.6857444,160.0585916
102,179.7227556,166.3267076
103,192.0812748,170.5082043
114,124.7304278,187.0899995
111,188.2789278,178.0080259
104,207.306211,178.7042155
110,194.5284535,188.7180375
113,152.0166636,192.4123015
105,217.0851643,184.3060652
112,172.1609379,187.266018
109,205.9829762,190.6620822
107,212.4785246,196.0862484
106,223.2557497,193.534479
115,133.0427455,208.7811318
108,205.2778504,201.0234936
120,193.7597552,202.1477423
118,162.6673616,209.2313624
122,180.1470524,212.8840177
116,143.727843,218.9944507
121,195.5807844,212.7783343
127,200.1092752,218.8282607
117,151.9059264,224.3892481
128,209.4288973,220.6569836
130,165.1242328,229.8518997
129,201.4037265,231.1683857
124,167.5122204,240.7662874
125,174.9049974,244.7680545
164,259.5551326,198.2154853
162,248.9952509,193.9038125
177,285.4704831,193.9151623
163,254.4112536,197.4387958
190,312.0877999,197.6716134
179,288.7691312,200.6213932
178,295.1610488,197.784392
158,272.9803647,200.8970671
165,247.6429636,203.0697902
191,300.9763941,203.8035784
192,308.1400687,203.7773328
172,268.237745,206.5542967
193,315.9724386,206.5369569
194,293.8437419,208.6241982
166,241.338124,212.4506516
170,264.6160502,213.0483064
195,308.0471585,210.5941617
174,277.0378798,212.6081079
175,284.9357959,215.7195869
197,298.7516534,214.3782836
171,272.1489026,217.2905267
196,303.7419149,218.321549
198,292.236501,215.0250614
199,294.3130151,220.8041229
167,235.7073795,226.114472
200,300.7409698,230.0161473
706,280.2992649,199.8935324
140,219.9789133,159.3829007
754,235.5628245,164.543023
169,252.570594,214.7882072
132,221.0046732,139.7037038
134,233.2022191,149.1235049
133,223.5878511,148.6426735
139,217.5511097,154.5944069
138,224.4219714,154.9356734
135,238.9819455,157.2005788
136,243.7238965,158.6830685
704,217.1736958,147.2296699
182,290.951935,180.4692724
168,254.5925292,208.5506114
173,283.0411726,206.5918307
203,319.3858622,187.0378306
204,327.8460445,194.5461724
206,336.9709845,195.0883388
205,333.3397867,196.4971657
217,319.9039,197.3715379
221,341.505165,208.18527
212,367.216525,211.790729
223,352.1737546,212.4069639
231,322.3019092,212.9962278
232,315.8476197,212.7963506
215,344.2556585,203.1760793
214,352.0170692,207.5325308
233,308.7742682,220.7131377
234,314.8660215,220.9115306
238,347.7021013,224.0286769
225,355.5943726,222.918214
237,337.5185116,223.6085179
236,328.020464,225.4301914
226,351.0738268,217.2295556
220,334.289122,208.2816684
222,345.3344669,212.6345818
224,359.140585,216.2802856
227,345.443484,218.0019571
228,341.1293568,218.5786881
240,324.2944904,217.9879135
239,329.2145642,218.1123639
229,335.462873,217.0928693
230,332.254704,213.3022654
219,326.452313,206.095171
218,320.0782384,201.9362502
216,333.7370196,202.0868687
213,356.4681399,207.4047281
209,363.1897142,201.3436151
208,355.159098,200.5935889
207,346.6681845,198.0455952
211,363.7983601,207.5244411
210,371.5525722,199.7658286
235,320.4042676,223.933936
241,380.0826921,176.2173869
242,374.9607923,182.6783865
243,377.9742431,183.6911719
244,382.1520341,183.6046922
249,458.3659817,167.2290498
260,500.2711635,170.9337375
253,493.2643185,182.4357638
245,429.6601558,177.5569106
248,453.4559261,183.6368349
254,481.5380662,187.9025461
251,477.7134672,171.9250556
259,492.3163218,173.5597122
256,447.7881889,171.7965653
255,458.348944,177.897424
247,444.2360232,181.1759734
246,436.0292943,183.5008884
763,454.9200482,171.9809512
762,488.9505966,176.9199499
761,478.5845029,190.707616
252,472.6017,158.2782339
250,466.0583785,167.6194103
257,487.0114013,157.8153785
258,486.008022,167.9136338
764,471.0985505,165.3697903
261,474.0930275,193.4792921
268,470.9021661,195.5199137
262,467.0139372,196.9069357
267,472.2024735,201.6938634
269,471.2799855,207.0068515
271,453.7743456,212.6987549
264,462.221714,201.3761551
263,466.391844,204.4892449
266,467.0557212,210.1956064
270,460.9481822,208.2375902
265,456.3796073,208.1511691
770,465.6174932,223.4347091
272,461.1938877,214.2213131
273,452.9172824,219.8297242
277,457.4416553,224.237883
768,458.1685974,229.4399448
275,456.437819,227.9580039
280,459.5502501,234.2979319
274,453.5967785,232.0624106
278,459.4716726,223.3819896
766,447.0561915,225.8308078
767,458.9718438,220.2994346
276,459.5113028,226.6440881
769,462.6022576,229.7496011
279,465.5372358,216.9032206
771,451.83171,225.7339446
772,448.0882204,231.6998611
282,440.8846735,233.9635539
283,443.360335,239.5906716
281,437.0874145,240.3941015
284,448.2633137,243.9246875
311,468.9097488,188.8409281
312,463.1705968,193.0492925
306,440.502534,192.3076035
285,444.2245977,248.1067314
286,440.7863257,252.7294446
288,444.8900659,263.6024416
287,441.5909637,261.1333434
292,433.377938,234.9768189
291,429.222521,239.0520873
707,420.6639959,243.0567442
709,424.8559742,243.9495631
708,425.3738651,237.353798
289,421.634731,238.2922654
290,424.4063708,249.2883516
710,430.9571116,233.451992
297,428.722151,206.6163642
296,419.6988146,210.8977737
714,437.1720099,216.4582655
298,427.4410387,214.4841975
295,409.8376093,215.7602109
293,404.2502976,210.1181128
294,410.5488064,210.5884028
299,434.5130542,212.8595913
313,456.9587526,196.8583585
326,430.8365174,192.7380397
320,410.0863117,193.8772079
713,419.4126098,215.455499
712,411.0351453,206.8678585
711,401.3044223,213.458048
309,482.8099652,178.897183
308,470.5831343,178.73887
310,474.6028111,182.3793882
307,461.388997,185.5220864
324,421.0002406,193.8617871
305,441.2905203,198.6928341
300,403.1010505,196.5682414
325,430.804982,197.3122848
303,415.9572231,199.0515755
323,421.4312013,198.5586633
304,434.4907896,199.9955689
321,421.8997948,202.9275038
319,410.3839281,198.7316043
301,401.8969205,201.8480996
322,428.7524576,202.4489344
302,410.1705742,203.7093855
315,445.3080131,214.540881
316,442.7546873,223.5837966
317,435.8373229,227.3524219
318,438.8896769,228.6071175
755,474.4978778,187.3345296
760,463.5861586,188.3698801
756,450.4147118,191.1338241
757,444.5734374,204.8971736
758,400.8596102,207.4747169
314,450.7250452,202.0017485
759,438.0976112,206.958322
343,380.1845096,266.9884946
327,376.2382113,190.7363505
328,383.4552378,193.5271793
331,380.7626226,214.7148485
332,373.7150359,218.3149724
333,375.7458408,233.7970905
334,367.556221,237.2223522
336,379.9158253,244.7505655
335,371.663467,246.6344972
340,349.5629379,247.9371117
339,359.9125901,250.1113859
337,383.0137167,256.5950377
338,373.4809497,254.1407986
344,363.9896783,261.1061782
341,373.3542791,259.7921708
358,316.9013736,233.2881961
347,327.3382355,233.7611893
346,310.1033286,234.8582108
363,356.5959251,236.8981479
354,350.2890842,239.2544105
359,320.8878332,240.9690602
355,343.4004446,241.345579
361,337.1339846,242.3006666
364,334.3803818,247.1223417
356,324.1837736,244.8137404
366,322.1891841,250.6849835
365,332.7668826,252.4045709
369,342.7295315,254.705083
357,349.9908486,258.8495919
368,336.479276,261.399775
367,322.6531042,258.8808302
348,338.6161286,228.583569
360,335.0397438,235.6288196
378,352.5138099,283.8253235
383,336.5629551,286.2413232
382,345.61498,285.7884815
392,311.9152965,284.6311533
394,293.8764281,291.8345433
393,302.4955419,289.9232628
391,316.9914414,289.0724179
381,339.0657903,292.0280474
390,315.1534308,297.0433426
342,377.4128909,259.2471471
345,369.1309589,267.4915681
774,393.5337727,194.3512337
777,360.2604396,241.8737014
775,381.5425586,187.8156506
776,357.302047,262.3029603
329,391.9383306,199.8338543
330,374.7080282,206.3250998
352,367.7515254,220.4357943
351,362.4090126,222.8453489
353,367.5375013,227.5431674
349,345.0516166,231.835665
362,361.7963087,231.439579
350,354.1615895,231.2943954
385,328.9382568,295.734348
386,336.4330334,297.6236065
395,301.5695518,301.0575398
380,348.3181501,295.6469762
387,339.4881213,300.8881964
397,290.3556926,305.5367125
396,307.4230062,308.8080348
398,295.9203063,317.2449984
399,284.7954012,325.7198113
384,327.6074245,283.7585932
379,352.3276412,290.4842324
388,324.2313938,304.7906449
389,316.8216449,311.5423614
376,349.3830984,269.6081875
374,321.8562708,266.728193
375,339.1653584,275.1929097
377,356.7016012,275.9111446
371,313.7274969,271.0124438
370,305.0636682,280.1523485
373,325.8753748,276.3055855
372,318.4614354,276.5212566
411,294.3270273,280.3340926
413,272.8093798,296.8995441
415,272.270555,305.6405522
416,276.7698255,316.6309838
414,283.6470269,312.7162232
722,280.6598156,302.9357807
720,288.9123262,292.0836674
410,282.9079717,279.1168597
409,276.5802494,280.1358979
412,282.7433975,290.4420037
723,276.3235453,325.5163265
719,273.7567833,287.5632816
400,288.9134095,244.8918594
402,312.495453,255.4289203
404,294.328709,259.6206391
407,274.2493819,266.5392415
405,296.1484921,269.1084708
718,278.6170317,272.5372764
408,268.4248555,282.917628
715,298.3119529,245.9624397
721,290.2574411,274.5096946
717,281.604654,264.2222102
401,303.2897964,253.4334755
716,307.2470522,242.9505353
417,267.7811077,316.7955545
403,304.3968829,266.6410089
406,286.5745932,261.6251567
467,203.9364834,277.805422
419,225.6616402,197.8692367
420,238.015966,197.7226233
421,229.6866,203.9026089
418,213.1874534,208.4914959
423,224.7415336,214.7298598
424,241.2674126,220.7729069
432,186.1674016,227.0981842
430,279.5341109,224.496384
429,268.5842613,228.0666622
458,215.9600741,227.6634186
459,225.762732,226.8224008
433,189.9867702,233.2618515
463,291.5803126,233.0933141
462,283.1078097,233.0037032
427,238.5681263,238.8734194
428,249.6883894,239.4724792
436,206.9320007,246.5459413
443,224.8572212,238.2119414
442,209.2054028,238.7089803
460,277.8851974,242.3682697
450,262.382599,240.4207831
431,270.6459449,243.4337412
434,185.39773,244.3839947
444,218.7431609,244.8904532
435,193.804659,247.091523
446,229.3175493,248.8396584
445,214.9304812,252.4960448
451,256.1923248,248.618583
437,205.2129286,256.3239408
461,280.914553,251.4164403
464,179.3535717,254.0014511
453,271.7656403,254.0373254
452,243.3295161,253.3100454
438,185.6164133,260.1854203
439,195.4395247,256.8187447
454,263.9560163,257.9746676
449,227.4368698,258.7399172
456,252.040836,263.0169382
465,174.8930672,263.0671187
455,239.9451464,266.0596794
448,214.8624109,264.3495639
440,195.2850584,269.2494609
466,206.8272502,269.0009954
457,261.7498049,269.8488035
441,184.4157118,271.2944281
724,199.8795632,239.4458671
422,236.2195458,207.7313751
425,251.709137,223.8030541
426,259.2761107,229.8356591
447,225.7057239,269.8783053
491,156.8677335,292.5668326
480,129.7743187,276.9493568
489,165.2851492,286.5903732
469,141.0290719,231.9450251
470,137.1555423,240.1488775
471,147.4113857,242.6729404
473,150.7238214,248.2939994
474,144.2192504,255.6677982
484,164.2017729,256.7054867
485,171.2638085,254.4746356
486,158.6502936,264.1064687
488,154.1666624,271.3126441
478,108.4542677,273.3696075
487,164.4789778,272.0945209
492,156.2219709,279.4120352
493,164.2192482,280.5860913
725,159.8933571,244.9224253
726,136.2883532,266.1682603
731,167.7890575,264.5570467
730,164.5107995,249.3532032
729,122.9189701,284.0934845
472,155.6127733,239.551694
468,110.3586348,242.1020638
475,134.7610838,256.0059428
476,122.4600911,267.6545186
483,154.4397894,254.8646
482,152.054199,260.797174
481,139.3876839,274.4495177
479,117.6499615,277.7772609
477,114.6805011,262.7633553
728,103.9162359,266.055433
727,124.9603654,254.9769747
490,156.4640437,286.4168152
495,153.0962348,292.6380984
494,125.2541022,287.9086841
496,156.1684871,296.0306395
507,259.6041667,281.0846343
506,253.0436206,281.6564842
499,191.1733888,284.5761477
504,236.05231,286.7000342
500,204.4980569,291.1192137
501,213.8776691,287.4642388
516,170.6506708,295.0082569
508,260.0272685,302.2521577
502,216.2252249,295.4058208
509,248.434277,297.1889673
510,229.9025564,297.732949
514,198.3161641,301.9798312
522,179.4019727,311.2293461
512,214.5483264,304.8711707
511,222.0358829,312.6586844
513,208.4186605,310.2312018
521,170.6036395,320.9447715
523,196.2533868,315.2112587
518,153.4678804,312.3761164
519,152.9946232,314.9833064
524,209.6063621,323.9640425
525,199.1340934,326.7906419
526,191.1048625,332.8434749
527,172.1208937,334.6929406
528,161.7254626,340.6968167
531,180.7486983,343.1365644
530,171.9214908,352.8685603
529,165.8399027,357.9585913
517,159.7899502,308.8562238
732,155.4065735,302.1919499
497,172.7584398,275.0075767
503,221.339604,280.6415715
498,178.3227909,281.842474
505,243.2826842,280.7865196
515,188.1806494,298.5685763
520,158.2906509,321.7151391
558,216.3410361,330.394175
579,211.185953,340.9073687
555,181.5610833,358.1265115
580,211.8176177,350.504824
556,193.1708735,356.6268297
559,211.5165871,358.5978127
560,201.8062292,366.5509298
561,193.7477244,368.517418
565,206.3159413,373.3451093
562,186.3177071,369.1418406
563,178.6001919,378.1152296
564,190.1421024,378.9135862
566,206.0609745,387.438607
567,197.9322167,383.8510625
568,187.2985786,389.3145827
569,182.2587279,397.4446406
570,194.1170917,398.0943016
582,225.1812525,396.2573631
574,200.1596352,404.9105257
581,230.7232201,402.7831912
583,221.3994208,401.482674
575,187.7420809,407.0486704
572,221.6832314,405.5764616
576,195.7113694,414.8833106
578,214.5001738,420.3174477
571,212.3055883,397.0876536
584,217.9394103,409.624321
573,210.144073,410.6330956
577,204.9754831,416.5806661
557,197.9124872,347.9620175
585,169.2403251,366.2764976
586,171.1676608,371.6690791
587,154.9351825,442.4247523
588,186.3122023,412.8458585
590,200.0123229,423.963718
591,196.1865437,427.3163778
592,200.842107,432.5114438
593,206.6623232,437.5096748
594,203.1586101,442.2744191
596,213.9050779,451.5719408
595,206.5110588,447.9801027
598,205.0832937,457.633749
597,208.0203522,454.5498164
599,212.0249386,459.7262753
600,211.2411283,464.4647651
601,213.2724963,469.6339543
589,191.702528,419.6914868
602,255.766137,401.3085683
605,242.1856982,407.6290469
603,260.068489,403.9161278
604,255.6980041,409.6317081
631,228.0224971,412.4271187
606,244.4633587,413.2894061
630,230.3658664,418.2086661
608,230.7893869,424.4698487
610,219.0727801,426.9992384
611,207.8738232,427.752775
609,229.5355227,429.7761616
615,240.4656413,430.4305157
632,212.7302045,436.2848333
614,235.8270663,436.0858168
616,245.567081,432.0871801
633,218.961631,437.1157198
620,245.5429372,439.3252674
613,229.5160656,436.7796831
619,249.723106,438.8695324
612,224.9584181,443.4498012
623,227.6431426,450.3518884
624,219.4327595,450.8061557
625,226.2041892,456.6813343
628,220.9365975,466.9181418
627,227.6278729,465.4956907
629,218.2993745,474.0561558
607,246.2914643,420.0718711
617,248.5745306,426.5728111
618,252.617389,437.2906106
621,240.3009492,443.9154933
622,236.128261,450.410662
626,237.5678367,457.3141193
635,252.6900077,421.0186862
637,253.6930838,435.4749762
733,248.0962997,308.891129
751,256.3079241,334.7112388
538,224.6785433,349.3196896
735,249.499157,314.4569985
535,231.3273174,330.3500539
742,235.648098,336.6037521
746,236.0892901,354.1115349
539,244.8523627,346.7242085
734,232.1313837,312.6602405
533,230.6314981,318.9608914
738,248.6059162,320.1868914
739,238.5978665,323.3275807
636,191.929804,423.7486545
537,233.5428794,342.8718888
740,225.7644077,332.9625464
741,239.8640521,329.5120454
748,252.9825938,343.6332238
743,223.8905014,341.0076027
745,228.1118523,355.5341136
749,252.8709157,330.8869093
540,249.0018223,329.2914437
747,241.7765194,338.0013124
753,266.8288878,334.4113276
542,314.8364036,320.5301558
543,305.5778621,322.4162679
544,295.5658516,331.2728508
547,268.0928416,351.5576233
548,257.6807305,355.542317
545,284.0019626,340.7401507
549,249.524406,365.7385953
552,227.5605115,367.0071079
553,221.3825662,382.7583396
550,252.7591982,383.6967664
546,276.5873899,345.8092132
551,238.8717279,383.0223993
554,242.1433746,397.9374471
634,289.2416221,349.0705118
639,442.8711317,407.3519308
640,439.7015446,426.9665622
638,453.516543,485.7556113
532,235.7694976,306.4136491
536,234.3828999,338.8691225
737,240.2491175,316.9558238
752,246.028094,333.7098776
750,259.0010887,323.9369416
744,224.3963167,358.8865826
736,228.461942,324.7174601
534,245.4600156,323.8921163
541,261.7664056,341.8319639
