state	cause	sex	perc	rank
NAGALAND	Digestive	T	9.7	6th
NAGALAND	Infections	T	9.3	7th
NAGALAND	Cancer	T	7.7	8th
NAGALAND	Endocrine	T	5.7	9th
NAGALAND	Blood diseases	T	4.0	10th
NAGALAND	Unknown diseases	T	0.0	11th
NORTH EAST INDIA	Circulatory	F	21.6	1st
NORTH EAST INDIA	Others	F	15.4	2nd
NORTH EAST INDIA	Infections	F	15.2	3rd
NORTH EAST INDIA	Respiratory	F	13.8	4th
NORTH EAST INDIA	Unknown diseases	F	8.1	5th
NORTH EAST INDIA	Cancer	F	5.6	6th
NORTH EAST INDIA	External Causes	F	5.2	7th
NORTH EAST INDIA	Digestive	F	5.1	8th
NORTH EAST INDIA	Endocrine	F	3.7	9th
NORTH EAST INDIA	Nervous	F	3.3	10th
NORTH EAST INDIA	Blood diseases	F	2.9	11th
NORTH EAST INDIA	Circulatory	M	24.9	1st
NORTH EAST INDIA	Infections	M	14	2nd
NORTH EAST INDIA	Respiratory	M	12.8	3rd
NORTH EAST INDIA	Digestive	M	10.4	4th
NORTH EAST INDIA	Others	M	10.2	5th
NORTH EAST INDIA	Unknown diseases	M	9.1	6th
NORTH EAST INDIA	External Causes	M	6.2	7th
NORTH EAST INDIA	Cancer	M	4.9	8th
NORTH EAST INDIA	Endocrine	M	3.4	9th
NORTH EAST INDIA	Nervous	M	2.3	10th
NORTH EAST INDIA	Blood diseases	M	1.7	11th
NORTH EAST INDIA	Circulatory	T	23.8	1st
NORTH EAST INDIA	Infections	T	14.4	2nd
NORTH EAST INDIA	Respiratory	T	13.1	3rd
NORTH EAST INDIA	Others	T	12	4th
NORTH EAST INDIA	Unknown diseases	T	8.8	5th
NORTH EAST INDIA	Digestive	T	8.6	6th
NORTH EAST INDIA	External Causes	T	5.8	7th
NORTH EAST INDIA	Cancer	T	5.2	8th
NORTH EAST INDIA	Endocrine	T	3.5	9th
NORTH EAST INDIA	Nervous	T	2.6	10th
NORTH EAST INDIA	Blood diseases	T	2.1	11th
NORTH INDIA	Circulatory	F	20.8	1st
NORTH INDIA	Others	F	17.8	2nd
NORTH INDIA	Infections	F	16.7	3rd
NORTH INDIA	Unknown diseases	F	13.3	4th
NORTH INDIA	Respiratory	F	7.9	5th
NORTH INDIA	External Causes	F	5.8	6th
NORTH INDIA	Cancer	F	4.7	7th
NORTH INDIA	Endocrine	F	3.4	8th
NORTH INDIA	Nervous	F	3.4	9th
NORTH INDIA	Blood diseases	F	3.1	10th
NORTH INDIA	Digestive	F	3.1	11th
NORTH INDIA	Circulatory	M	20.9	1st
NORTH INDIA	Infections	M	15.9	2nd
NORTH INDIA	Others	M	14.8	3rd
NORTH INDIA	Unknown diseases	M	14.8	4th
NORTH INDIA	Respiratory	M	10.2	5th
NORTH INDIA	External Causes	M	5.8	6th
NORTH INDIA	Digestive	M	4.6	7th
NORTH INDIA	Endocrine	M	4	8th
NORTH INDIA	Cancer	M	4	9th
NORTH INDIA	Nervous	M	3	10th
NORTH INDIA	Blood diseases	M	2.1	11th
NORTH INDIA	Circulatory	T	21.1	1st
NORTH INDIA	Infections	T	16.4	2nd
NORTH INDIA	Others	T	15	3rd
NORTH INDIA	Unknown diseases	T	14.4	4th
NORTH INDIA	Respiratory	T	9.4	5th
NORTH INDIA	External Causes	T	5.8	6th
NORTH INDIA	Cancer	T	4.3	7th
NORTH INDIA	Digestive	T	4.1	8th
NORTH INDIA	Endocrine	T	3.8	9th
NORTH INDIA	Nervous	T	3.2	10th
NORTH INDIA	Blood diseases	T	2.5	11th
ORISSA	Circulatory	F	20.9	1st
ORISSA	Infections	F	15.7	2nd
ORISSA	External Causes	F	9.1	3rd
ORISSA	Unknown diseases	F	8.1	4th
ORISSA	Respiratory	F	5.9	5th
ORISSA	Endocrine	F	4.9	6th
ORISSA	Blood diseases	F	3.8	7th
ORISSA	Others	F	3.7	8th
ORISSA	Nervous	F	3.4	9th
ORISSA	Digestive	F	3.1	10th
ORISSA	Cancer	F	2.6	11th
ORISSA	Circulatory	M	19.0	1st
ORISSA	Infections	M	14.4	2nd
ORISSA	Others	M	9.7	3rd
ORISSA	Unknown diseases	M	9.0	4th
ORISSA	External Causes	M	8.3	5th
ORISSA	Digestive	M	7.3	6th
ORISSA	Respiratory	M	6.3	7th
ORISSA	Endocrine	M	5.8	8th
ORISSA	Nervous	M	3.4	9th
ORISSA	Cancer	M	2.2	10th
ORISSA	Blood diseases	M	2.2	11th
ORISSA	Circulatory	T	19.7	1st
ORISSA	Infections	T	14.9	2nd
ORISSA	Unknown diseases	T	8.6	3rd
ORISSA	External Causes	T	8.6	4th
ORISSA	Respiratory	T	6.2	5th
ORISSA	Digestive	T	5.7	6th
ORISSA	Endocrine	T	5.5	7th
ORISSA	Nervous	T	3.4	8th
ORISSA	Blood diseases	T	2.8	9th
ORISSA	Others	T	2.5	10th
ORISSA	Cancer	T	2.4	11th
PUNJAB	Circulatory	F	29.5	1st
PUNJAB	Infections	F	15.6	2nd
PUNJAB	Others	F	14.1	3rd
PUNJAB	Respiratory	F	8.9	4th
PUNJAB	Unknown diseases	F	8.5	5th
PUNJAB	Cancer	F	7.1	6th
PUNJAB	External Causes	F	6.6	7th
PUNJAB	Digestive	F	3.9	8th
PUNJAB	Blood diseases	F	2.4	9th
PUNJAB	Nervous	F	2.0	10th
PUNJAB	Endocrine	F	1.6	11th
PUNJAB	Circulatory	M	22.3	1st
PUNJAB	Infections	M	14.5	2nd
PUNJAB	Others	M	11.0	3rd
PUNJAB	Endocrine	M	10.7	4th
PUNJAB	External Causes	M	9.7	5th
PUNJAB	Respiratory	M	9.6	6th
PUNJAB	Unknown diseases	M	7.6	7th
PUNJAB	Digestive	M	7.3	8th
PUNJAB	Cancer	M	4.3	9th
PUNJAB	Nervous	M	1.8	10th
PUNJAB	Blood diseases	M	1.2	11th
PUNJAB	Circulatory	T	24.7	1st
PUNJAB	Infections	T	14.8	2nd
PUNJAB	Others	T	12.0	3rd
PUNJAB	Respiratory	T	9.4	4th
PUNJAB	External Causes	T	8.7	5th
PUNJAB	Unknown diseases	T	7.9	6th
PUNJAB	Endocrine	T	7.7	7th
PUNJAB	Digestive	T	6.2	8th
PUNJAB	Cancer	T	5.2	9th
PUNJAB	Nervous	T	1.9	10th
PUNJAB	Blood diseases	T	1.6	11th
RAJASTHAN	Others	F	28.4	1st
RAJASTHAN	Infections	F	20.1	2nd
RAJASTHAN	Circulatory	F	19.2	3rd
RAJASTHAN	Respiratory	F	10.5	4th
RAJASTHAN	External Causes	F	5.9	5th
RAJASTHAN	Unknown diseases	F	4.8	6th
RAJASTHAN	Cancer	F	3.1	7th
RAJASTHAN	Digestive	F	2.7	8th
RAJASTHAN	Endocrine	F	1.9	9th
RAJASTHAN	Blood diseases	F	1.7	10th
RAJASTHAN	Nervous	F	1.7	11th
RAJASTHAN	Others	M	23.8	1st
RAJASTHAN	Infections	M	18.6	2nd
RAJASTHAN	Circulatory	M	18.1	3rd
RAJASTHAN	Respiratory	M	16.0	4th
RAJASTHAN	External Causes	M	5.8	5th
RAJASTHAN	Unknown diseases	M	5.4	6th
RAJASTHAN	Digestive	M	4.2	7th
RAJASTHAN	Cancer	M	2.9	8th
RAJASTHAN	Endocrine	M	1.9	9th
RAJASTHAN	Nervous	M	1.7	10th
RAJASTHAN	Blood diseases	M	1.4	11th
RAJASTHAN	Others	T	25.6	1st
RAJASTHAN	Infections	T	19.2	2nd
RAJASTHAN	Circulatory	T	18.5	3rd
RAJASTHAN	Respiratory	T	14	4th
RAJASTHAN	External Causes	T	5.9	5th
RAJASTHAN	Unknown diseases	T	5.2	6th
RAJASTHAN	Digestive	T	3.7	7th
RAJASTHAN	Cancer	T	2.9	8th
RAJASTHAN	Endocrine	T	1.9	9th
RAJASTHAN	Nervous	T	1.7	10th
RAJASTHAN	Blood diseases	T	1.5	11th
SIKKIM	Circulatory	F	24.4	1st
SIKKIM	Infections	F	15.3	2nd
SIKKIM	Digestive	F	15.3	3rd
SIKKIM	Others	F	12.8	4th
SIKKIM	Respiratory	F	11.8	5th
SIKKIM	Cancer	F	8.5	6th
SIKKIM	Endocrine	F	3.9	7th
SIKKIM	External Causes	F	3.7	8th
SIKKIM	Blood diseases	F	1.7	9th
SIKKIM	Nervous	F	1.4	10th
SIKKIM	Unknown diseases	F	1.2	11th
SIKKIM	Circulatory	M	26.7	1st
SIKKIM	Digestive	M	17.1	2nd
SIKKIM	Infections	M	13.1	3rd
SIKKIM	Others	M	11.3	4th
SIKKIM	External Causes	M	10.6	5th
SIKKIM	Respiratory	M	7.3	6th
SIKKIM	Cancer	M	6.2	7th
SIKKIM	Unknown diseases	M	2.4	8th
SIKKIM	Endocrine	M	2.3	9th
SIKKIM	Nervous	M	1.9	10th
SIKKIM	Blood diseases	M	1.0	11th
SIKKIM	Circulatory	T	25.9	1st
SIKKIM	Digestive	T	16.4	2nd
SIKKIM	Infections	T	13.9	3rd
SIKKIM	Others	T	11.9	4th
SIKKIM	Respiratory	T	9.0	5th
SIKKIM	External Causes	T	8.0	6th
SIKKIM	Cancer	T	7.0	7th
SIKKIM	Endocrine	T	2.9	8th
SIKKIM	Unknown diseases	T	2	9th
SIKKIM	Nervous	T	1.8	10th
SIKKIM	Blood diseases	T	1.2	11th
SOUTH INDIA	Circulatory	F	32.8	1st
SOUTH INDIA	Unknown diseases	F	15.2	2nd
SOUTH INDIA	Others	F	14.2	3rd
SOUTH INDIA	Infections	F	8.6	4th
SOUTH INDIA	External Causes	F	8.3	5th
SOUTH INDIA	Respiratory	F	5.8	6th
SOUTH INDIA	Cancer	F	5.6	7th
SOUTH INDIA	Endocrine	F	4	8th
SOUTH INDIA	Digestive	F	2.6	9th
SOUTH INDIA	Nervous	F	1.7	10th
SOUTH INDIA	Blood diseases	F	1.3	11th
SOUTH INDIA	Circulatory	M	31.6	1st
SOUTH INDIA	Unknown diseases	M	14.9	2nd
SOUTH INDIA	Others	M	12.1	3rd
SOUTH INDIA	Infections	M	9	4th
SOUTH INDIA	External Causes	M	8.8	5th
SOUTH INDIA	Respiratory	M	6.9	6th
SOUTH INDIA	Digestive	M	5.8	7th
SOUTH INDIA	Cancer	M	5.1	8th
SOUTH INDIA	Endocrine	M	3.3	9th
SOUTH INDIA	Nervous	M	1.7	10th
SOUTH INDIA	Blood diseases	M	0.8	11th
SOUTH INDIA	Circulatory	T	32	1st
SOUTH INDIA	Unknown diseases	T	15	2nd
SOUTH INDIA	Others	T	12.9	3rd
SOUTH INDIA	Infections	T	8.8	4th
SOUTH INDIA	External Causes	T	8.6	5th
SOUTH INDIA	Respiratory	T	6.5	6th
SOUTH INDIA	Cancer	T	5.3	7th
SOUTH INDIA	Digestive	T	4.6	8th
SOUTH INDIA	Endocrine	T	3.6	9th
SOUTH INDIA	Nervous	T	1.7	10th
SOUTH INDIA	Blood diseases	T	1	11th
TAMIL NADU	Circulatory	F	38.7	1st
TAMIL NADU	Unknown diseases	F	27.2	2nd
TAMIL NADU	Others	F	11.3	3rd
TAMIL NADU	Infections	F	6.8	4th
TAMIL NADU	External Causes	F	6.7	5th
TAMIL NADU	Respiratory	F	3.3	6th
TAMIL NADU	Cancer	F	2.6	7th
TAMIL NADU	Digestive	F	1.8	8th
TAMIL NADU	Endocrine	F	1.0	9th
TAMIL NADU	Blood diseases	F	0.4	10th
TAMIL NADU	Nervous	F	0.3	11th
TAMIL NADU	Circulatory	M	37.1	1st
TAMIL NADU	Unknown diseases	M	29.4	2nd
TAMIL NADU	Others	M	9.3	3rd
TAMIL NADU	External Causes	M	7.2	4th
TAMIL NADU	Infections	M	6.1	5th
TAMIL NADU	Respiratory	M	3.8	6th
TAMIL NADU	Digestive	M	2.9	7th
TAMIL NADU	Cancer	M	2.6	8th
TAMIL NADU	Endocrine	M	1.0	9th
TAMIL NADU	Nervous	M	0.3	10th
TAMIL NADU	Blood diseases	M	0.2	11th
TAMIL NADU	Circulatory	T	37.7	1st
TAMIL NADU	Unknown diseases	T	28.5	2nd
TAMIL NADU	Others	T	10.1	3rd
TAMIL NADU	External Causes	T	7.0	4th
TAMIL NADU	Infections	T	6.4	5th
TAMIL NADU	Respiratory	T	3.6	6th
TAMIL NADU	Cancer	T	2.6	7th
TAMIL NADU	Digestive	T	2.5	8th
TAMIL NADU	Endocrine	T	1.0	9th
TAMIL NADU	Blood diseases	T	0.3	10th
TAMIL NADU	Nervous	T	0.3	11th
TRIPURA	Circulatory	F	28.3	1st
TRIPURA	Respiratory	F	26.1	2nd
TRIPURA	Unknown diseases	F	16.8	3rd
TRIPURA	Infections	F	13.5	4th
TRIPURA	External Causes	F	8.2	5th
TRIPURA	Blood diseases	F	2.3	6th
TRIPURA	Others	F	2.2	7th
TRIPURA	Cancer	F	1.2	8th
TRIPURA	Endocrine	F	1.2	9th
TRIPURA	Nervous	F	0.1	10th
TRIPURA	Digestive	F	0.1	11th
TRIPURA	Circulatory	M	32.9	1st
TRIPURA	Respiratory	M	25.5	2nd
TRIPURA	Unknown diseases	M	16.3	3rd
TRIPURA	Infections	M	12.0	4th
TRIPURA	External Causes	M	5.9	5th
TRIPURA	Blood diseases	M	2.3	6th
TRIPURA	Endocrine	M	1.8	7th
TRIPURA	Cancer	M	1.6	8th
TRIPURA	Others	M	1.1	9th
TRIPURA	Nervous	M	0.3	10th
TRIPURA	Digestive	M	0.2	11th
TRIPURA	Circulatory	T	31.4	1st
TRIPURA	Respiratory	T	25.7	2nd
TRIPURA	Unknown diseases	T	16.5	3rd
TRIPURA	Infections	T	12.5	4th
TRIPURA	External Causes	T	6.7	5th
TRIPURA	Blood diseases	T	2.3	6th
TRIPURA	Endocrine	T	1.6	7th
TRIPURA	Cancer	T	1.5	8th
TRIPURA	Others	T	1.4	9th
TRIPURA	Nervous	T	0.2	10th
TRIPURA	Digestive	T	0.2	11th
UTTARAKHAND	Infections	F	19.7	1st
UTTARAKHAND	Others	F	16.8	2nd
UTTARAKHAND	Circulatory	F	13	3rd
UTTARAKHAND	Unknown diseases	F	11.8	4th
UTTARAKHAND	Digestive	F	10.3	5th
UTTARAKHAND	Respiratory	F	7.7	6th
UTTARAKHAND	External Causes	F	7.4	7th
UTTARAKHAND	Endocrine	F	4.2	8th
UTTARAKHAND	Blood diseases	F	4.1	9th
UTTARAKHAND	Nervous	F	2.7	10th
UTTARAKHAND	Cancer	F	2.4	11th
UTTARAKHAND	Infections	M	18.1	1st
UTTARAKHAND	Others	M	14	2nd
UTTARAKHAND	Circulatory	M	13.5	3rd
UTTARAKHAND	Respiratory	M	12.3	4th
UTTARAKHAND	Digestive	M	11	5th
UTTARAKHAND	Unknown diseases	M	10.5	6th
UTTARAKHAND	External Causes	M	6.8	7th
UTTARAKHAND	Endocrine	M	4.6	8th
UTTARAKHAND	Blood diseases	M	3.4	9th
UTTARAKHAND	Cancer	M	3	10th
UTTARAKHAND	Nervous	M	2.7	11th
UTTARAKHAND	Infections	T	18.8	1st
UTTARAKHAND	Others	T	15.3	2nd
UTTARAKHAND	Circulatory	T	13.3	3rd
UTTARAKHAND	Unknown diseases	T	11.1	4th
UTTARAKHAND	Digestive	T	10.7	5th
UTTARAKHAND	Respiratory	T	10.2	6th
UTTARAKHAND	External Causes	T	7.1	7th
UTTARAKHAND	Endocrine	T	4.4	8th
UTTARAKHAND	Blood diseases	T	3.7	9th
UTTARAKHAND	Cancer	T	2.8	10th
UTTARAKHAND	Nervous	T	2.7	11th
WEST BENGAL	Circulatory	F	34.3	1st
WEST BENGAL	Infections	F	15.8	2nd
WEST BENGAL	Others	F	14.6	3rd
WEST BENGAL	Respiratory	F	10.2	4th
WEST BENGAL	Digestive	F	6.6	5th
WEST BENGAL	External Causes	F	6.2	6th
WEST BENGAL	Endocrine	F	3.5	7th
WEST BENGAL	Cancer	F	3	8th
WEST BENGAL	Nervous	F	2.7	9th
WEST BENGAL	Unknown diseases	F	1.8	10th
WEST BENGAL	Blood diseases	F	1.1	11th
WEST BENGAL	Circulatory	M	30.7	1st
WEST BENGAL	Respiratory	M	15.9	2nd
WEST BENGAL	Others	M	14.3	3rd
WEST BENGAL	Infections	M	13.9	4th
WEST BENGAL	Digestive	M	9.4	5th
WEST BENGAL	External Causes	M	5.4	6th
WEST BENGAL	Cancer	M	2.8	7th
WEST BENGAL	Nervous	M	2.6	8th
WEST BENGAL	Endocrine	M	2.5	9th
WEST BENGAL	Unknown diseases	M	1.6	10th
WEST BENGAL	Blood diseases	M	0.8	11th
WEST BENGAL	Circulatory	T	32.1	1st
WEST BENGAL	Infections	T	14.6	2nd
WEST BENGAL	Others	T	14.5	3rd
WEST BENGAL	Respiratory	T	13.7	4th
WEST BENGAL	Digestive	T	8.3	5th
WEST BENGAL	External Causes	T	5.7	6th
WEST BENGAL	Cancer	T	2.9	7th
WEST BENGAL	Endocrine	T	2.9	8th
WEST BENGAL	Nervous	T	2.6	9th
WEST BENGAL	Unknown diseases	T	1.7	10th
WEST BENGAL	Blood diseases	T	0.9	11th
WEST INDIA	Circulatory	F	34.6	1st
WEST INDIA	Infections	F	13.1	2nd
WEST INDIA	Unknown diseases	F	11.5	3rd
WEST INDIA	Respiratory	F	11.1	4th
WEST INDIA	Others	F	9.3	5th
WEST INDIA	Cancer	F	7.4	6th
WEST INDIA	Endocrine	F	4.3	7th
WEST INDIA	External Causes	F	3.6	8th
WEST INDIA	Digestive	F	1.9	9th
WEST INDIA	Nervous	F	1.7	10th
WEST INDIA	Blood diseases	F	1.3	11th
WEST INDIA	Circulatory	M	31.4	1st
WEST INDIA	Infections	M	13.3	2nd
WEST INDIA	Unknown diseases	M	10.8	3rd
WEST INDIA	Respiratory	M	9.7	4th
WEST INDIA	External Causes	M	9.3	5th
WEST INDIA	Others	M	8.3	6th
WEST INDIA	Digestive	M	6.3	7th
WEST INDIA	Cancer	M	5.1	8th
WEST INDIA	Endocrine	M	3.5	9th
WEST INDIA	Nervous	M	1.5	10th
WEST INDIA	Blood diseases	M	0.8	11th
WEST INDIA	Circulatory	T	32.6	1st
WEST INDIA	Infections	T	13.2	2nd
WEST INDIA	Unknown diseases	T	11.1	3rd
WEST INDIA	Respiratory	T	10.2	4th
WEST INDIA	Others	T	8.7	5th
WEST INDIA	External Causes	T	7.2	6th
WEST INDIA	Cancer	T	6	7th
WEST INDIA	Digestive	T	4.7	8th
WEST INDIA	Endocrine	T	3.8	9th
WEST INDIA	Nervous	T	1.6	10th
WEST INDIA	Blood diseases	T	1	11th
